10
204
15 1 49 55
15 1 50 55
15 2 49 55
15 2 50 55
15 1 2 49 55
15 1 2 50 55
15 2 1 49 55
15 2 1 50 55
15 3 1 49 55
15 3 1 50 55
15 3 2 49 55
15 3 2 50 55
15 4 1 49 55
15 4 1 50 55
15 4 2 49 55
15 4 2 50 55
15 5 1 49 55
15 5 1 50 55
15 5 2 49 55
15 5 2 50 55
15 6 1 49 55
15 6 1 50 55
15 6 2 49 55
15 6 2 50 55
15 7 1 49 55
15 7 1 50 55
15 7 2 49 55
15 7 2 50 55
15 8 1 49 55
15 8 1 50 55
15 8 2 49 55
15 8 2 50 55
15 9 1 49 55
15 9 1 50 55
15 9 2 49 55
15 9 2 50 55
15 10 1 49 55
15 10 1 50 55
15 10 2 49 55
15 10 2 50 55
15 11 1 49 55
15 11 1 50 55
15 11 2 49 55
15 11 2 50 55
15 12 1 49 55
15 12 1 50 55
15 12 2 49 55
15 12 2 50 55
15 13 1 49 55
15 13 1 50 55
15 13 2 49 55
15 13 2 50 55
15 14 1 49 55
15 14 1 50 55
15 14 2 49 55
15 14 2 50 55
15 16 1 49 55
15 16 1 50 55
15 16 2 49 55
15 16 2 50 55
15 17 1 49 55
15 17 1 50 55
15 17 2 49 55
15 17 2 50 55
15 18 1 49 55
15 18 1 50 55
15 18 2 49 55
15 18 2 50 55
15 19 1 49 55
15 19 1 50 55
15 19 2 49 55
15 19 2 50 55
15 20 1 49 55
15 20 1 50 55
15 20 2 49 55
15 20 2 50 55
15 21 1 49 55
15 21 1 50 55
15 21 2 49 55
15 21 2 50 55
15 22 1 49 55
15 22 1 50 55
15 22 2 49 55
15 22 2 50 55
15 23 1 49 55
15 23 1 50 55
15 23 2 49 55
15 23 2 50 55
15 24 1 49 55
15 24 1 50 55
15 24 2 49 55
15 24 2 50 55
15 1 49 50 55
15 1 49 51 55
15 1 49 52 55
15 1 49 53 55
15 1 49 54 55
15 1 49 56 55
15 1 49 57 55
15 1 49 58 55
15 1 49 59 55
15 1 49 60 55
15 1 49 61 55
15 1 49 62 55
15 1 49 63 55
15 1 49 64 55
